id;isbn;name;publish_year;status
1;Handmade Cott;Mayotte Dynamic SAS;digital forecast Bahrain;RESTRICTED
2;synthesizing ;Sleek Rubber Mouse generate;Designer calculating;RESTRICTED
3;Texas auxilia;Pula redefine Paradigm;Optimization secondary driver;AVAILABLE
4;quantify;bleeding-edge payment violet;deposit;RESTRICTED
5;mobile optica;methodologies Yen;application;AVAILABLE
6;panel;transmitting grow;Practical Granite Chicken;BORROWED
7;CSS Soft;Chicken indigo;Personal Loan Account;AVAILABLE
8;Web Checking ;back-end Future-proofed compressing;Table green Dominica;BORROWED
9;salmon primar;e-tailers Som Dynamic;Clothing alarm Alaska;BORROWED
10;Health solid ;Saint Kitts and Nevis;Zloty secondary;RESTRICTED
